title,key
ComponentInstances are disposed before disposal of ComponentFactory,FELIX-5861
Upgrade to OSGi R7,FELIX-5860
logbackend: wrong hookconfigurators.properties in ,FELIX-5859
Additional server configured through OSGi factory configurations starts and stops immediately,FELIX-5858
Provide a context classloader on the session to help with class loading,FELIX-5857
Coercion between Object[] and List,FELIX-5856
Support array subscript in expander,FELIX-5855
"Need ""ReleaseNotes"" for maven-bundle-plugin 2.4.0",FELIX-5854
Add HttpContext sharing support,FELIX-5853
AutoProcessor error handling,FELIX-5852
Highlight unresolvable requirements (Require-Capability),FELIX-5851
ResourceBuilder should do deal with null bundle manifest version,FELIX-5850
ConfigurationHandler improperly removes backslashes because it treats them as escape characters,FELIX-5849
[contribution] Finalize System Ready contribution,FELIX-5848
ClassNotFoundException with complex JSON String with Array,FELIX-5847
"Configurator Key "":configurator:symbolicname"" vs "":configurator:symbolic-name""",FELIX-5846
org.apache.felix.cm.impl.persistence.PersistenceManagerProxy broken,FELIX-5845
TargetFilter adds ,FELIX-5844
EE and system packages for Java 10,FELIX-5843
MvnArtifact org.apache.felix.felix-parent.5-SNAPSHOT not avaylible,FELIX-5842
Update webconsole plugin to DS 1.4 (R7),FELIX-5841
Occasional NPE when build multiple bundle modules in parallel,FELIX-5840
Add xml and json repositories implemenation,FELIX-5839
Add OSGi Resource implementations to Felix Utils,FELIX-5838
[gogo][jline] Improve styling support,FELIX-5837
Upgrade to OSGi r6,FELIX-5836
Upgrade to JDK 8,FELIX-5835
Upgrade to JLine 3.7.0,FELIX-5834
Support for completion of quoted arguments,FELIX-5833
ConfigInstaller should only handle events for configurations it manages,FELIX-5832
Async/sync Thread Pool Ratio is not changeable at runtime,FELIX-5831
Document changes for Felix Framework,FELIX-5830
Delete ImmutableMap/List,FELIX-5829
Remove android support.,FELIX-5828
Use less synchronized in the BundleWiring and BundleClassloader,FELIX-5827
Remove FelixBundleContext interface,FELIX-5826
Use ReentrantLock inside WeakZipFileFactory/WeakZipFile and use less synchronized.,FELIX-5825
Use VersionRange from OSGi and remove our own impl.,FELIX-5824
Remove support for old multi-file bundle cache format.,FELIX-5823
[gogo][jline] Improve syntax of procedural functions,FELIX-5822
[gogo][runtime] Hitting Ctrl+C may kill the console output thread,FELIX-5821
Update parent pom,FELIX-5820
Container session should not be invalidated,FELIX-5819
Only resolve fragments that are required on dynamic import,FELIX-5818
mechanism to persist component disable,FELIX-5817
Switch to java.util.Random for startup performance,FELIX-5816
Duplicate events send to session listener for http context,FELIX-5815
Unstable service id should not be used for session attribute names,FELIX-5814
EventAdmin async threads should be named,FELIX-5813
External session id differs from internal session id,FELIX-5812
Prevent bundles from providing ee capabilities,FELIX-5811
URLHandlers ContentHandler fails to load sun.net.www.content on Java 9,FELIX-5810
Capture context for bundle: protocol urls if possible,FELIX-5809
Clean-up bundlecache manifest parsing and entry reading,FELIX-5808
Do not hide the cause when a problem occurs in URLHandlersStreamHandlerProxy,FELIX-5807
EventAdmin webconsole plugins displays wrong value for Bundle STARTING event,FELIX-5806
"[gogo][runtime] OOM caused by endless loop when parsing ""]""",FELIX-5805
Improve framework lookup for bundle protocol urls,FELIX-5804
Auto refresh uninstalled bundle graph if possible,FELIX-5803
Service Component created via xml defines scope='singleton' and service specifies property with scope='bundle',FELIX-5802
[GOGO] Addition of Intercept for security guards,FELIX-5801
Improve calculation of available system bundle exports,FELIX-5800
Fix bugs in Service Factory unregister callback handling,FELIX-5799
Implement FrameworkWiringDTO,FELIX-5798
Implement extension bundle imports,FELIX-5797
Implement multi-release jar support,FELIX-5796
Maven Bundle Plugin Should Upgrade to Use Maven Dependency Tree 3.x,FELIX-5795
maven-bundle-plugin fails to parse meta-persistence,FELIX-5794
Update to Jetty 9.4.x,FELIX-5793
Implement java.* import and exports,FELIX-5792
Support OSGi R7 framework features,FELIX-5791
Improve procedural function syntax,FELIX-5790
Webconsole Memory Usage Plugin can cause deadlock,FELIX-5789
JettyConfigConstants.FELIX_CUSTOM_HTTP_RUNTIME_PROPERTY_PREFIX is missing,FELIX-5788
Wrong port 433 instread of 443 used as default port for https ,FELIX-5787
DS does not propagate activation exceptions from ComponentFactory.newInstance(),FELIX-5786
Update the documentation for directives to use _ as prefix,FELIX-5785
CLONE - Remove inclusion of OSGi software from DEPENDENCIES file,FELIX-5784
IPOJO demo not working JAVA 9,FELIX-5783
allow resolver errors to be introspected,FELIX-5782
Http endpoint property must be set,FELIX-5781
Cycles in DS depending on bundle order,FELIX-5780
Update metatype to R7,FELIX-5779
Refactor factory configuration handling,FELIX-5778
Karaf on Windows does not pass the version check when JAVA_HOME contains whitespace,FELIX-5777
Memory Leak by Config Admin,FELIX-5776
Service properties not updated for lazy service when configuration changes,FELIX-5775
Webconsole default security cannot be disabled,FELIX-5774
Update implementation to EventAdmin 1.4 (R7),FELIX-5773
Some converter projects do not have svn:ignore set,FELIX-5772
Metatype generation via bnd plugin creates incorrect file names,FELIX-5771
Improve usability and extensibility of SCR commands,FELIX-5770
SCR should not bind prototype_required reference to bundle scope service,FELIX-5769
DM Lambda stop callback not being called,FELIX-5768
Webconsole binds only to a single HTTP context,FELIX-5767
[Converter] Bring sister projects up to date with recent changes to Converter,FELIX-5766
An illegal reflective access operation has occurred,FELIX-5765
Update to bnd version 3.5,FELIX-5764
Upgrade maven-bundle-plugin to use bnd 3.4,FELIX-5763
WebConsole Services Servlet: Expose service types as proper JSON array,FELIX-5762
Expose service information by type (and not only by id),FELIX-5761
Update to bnd version 3.4,FELIX-5760
StackOverflowError thrown during URL construction,FELIX-5759
metatype.properties file must not be in OSGI-INF/metatype directory,FELIX-5758
Consolidate maven-bundle-plugin FAQ pages,FELIX-5757
Update project to latest parent pom,FELIX-5756
Servlet API should be optional,FELIX-5755
error in default.properties contained in jar org.apache.felix.framework-5.6.10.jar,FELIX-5754
Wrong require capability for http whiteboard,FELIX-5753
Include SVN revision information in bundle manifests,FELIX-5752
Frequent JVM crashes during Bundle.getEntry(),FELIX-5751
"Clarify relation of ""Enable Proxy/Load Balancer Connection"" Jetty feature and SSL Filter",FELIX-5750
Allow to use components that depend on optional imports,FELIX-5749
Remove ExtHttpManager support,FELIX-5748
Implement proprietary whiteboard based on R7 whiteboard,FELIX-5747
Make optional dependencies runtime optional,FELIX-5746
Empty collections should be allowed as property value,FELIX-5745
Felix HTTP Jetty does not support request logging,FELIX-5744
Allow environment variable substitution in fileinstall,FELIX-5743
Provide java9 system bundle exports for jpms jre,FELIX-5742
bundlerepository declares easymock as a runtime dependency,FELIX-5741
Update to jetty 9.3.22.v20171030,FELIX-5740
Strange behaviour with Lazy-ActivationPolicy and autostart,FELIX-5739
EventAdmin IgnoreTopic config. property doesn't support wildcards,FELIX-5738
Web Console (all-in-one bundle) - Jar download link is broken,FELIX-5737
forward custom properties in a configuration to HttpRuntimeService,FELIX-5736
No possibility to deactivate the startup of the default server,FELIX-5735
The plugin generates wrong service requirements when using a jndi name in jpa,FELIX-5734
Cache in BundleResources should update bundleLastModified on cache clear.,FELIX-5733
Contribute Bundle Archive Installer Extension to File Install subproject,FELIX-5732
Webconsole can't read second component localization properties,FELIX-5731
Different separators in localization attribute,FELIX-5730
NoSuchFieldError when @Reference referenceInterface type different than field type,FELIX-5729
Whong default for outputDirectory property,FELIX-5728
Allow extension bundles when loaded with the PlattformClassLoader,FELIX-5727
Thread create by gogo should be named,FELIX-5726
Cache generated reflection classes for jdk.internal.reflect like we do for sun.reflect.,FELIX-5725
FileInstall does not detect undeployed files at startup,FELIX-5724
ConfigInstaller is not deleting files in the etc directory,FELIX-5723
The factory pid is not available on the async delete event,FELIX-5722
Make javafx packages available by default on java9 if they are there,FELIX-5721
Use PlatformClassLoader as boot classloader on java9,FELIX-5720
Extend property substitution to user defined FRAMEWORK_SYSTEMPACKAGES_EXTRA and FRAMEWORK_SYSTEMPACKAGES properties for java9 module expansion.,FELIX-5719
Autodetect modules available,FELIX-5718
Define proper package lists for java9 modules,FELIX-5717
Dead Lock in DM,FELIX-5716
Central point to allow customization of security related checks,FELIX-5715
ArrayIndexOutOfBoundsException running history | grep,FELIX-5714
Addition of Provide-Capability,FELIX-5713
Maven Bundle Plugin - Broken and non https links,FELIX-5712
FileInstall drops escape characters when writing configuration file back to disk,FELIX-5711
Improve Java9 support,FELIX-5710
PackageAdmin getHosts should only return hosts required via HOST_NAMESPACE.,FELIX-5709
API changes report for Felix Framework,FELIX-5708
Bundle-NativeCode header should not require osname and processor parameter to be present to match,FELIX-5707
Unable to access DTO fields using reflection,FELIX-5706
Provide completion for SCR commands,FELIX-5705
SCR can't be wired to recent gogo-runtime versions,FELIX-5704
Plugin should work without configuration admin,FELIX-5703
All files in OSG-INF/metatype must be considered,FELIX-5702
metatype.properties file must not be in OSGI-INF/metatype,FELIX-5701
Metatype generation wrongly puts properties files into metatype directory,FELIX-5700
baseline check behaves weirdly for jackrabbit-webdav under Java 9,FELIX-5699
Bundle plugin cannot cope with Java 9 module-info.java,FELIX-5698
DS WebConsole Plugin should neither require Configuration Admin nor Metatype,FELIX-5697
Separate metatype provider from managed service,FELIX-5696
Use Java 7 as base version,FELIX-5695
maven-scr-plugin use service name property as filename.xml,FELIX-5694
Improve persistent manager handling,FELIX-5693
TypedProperties is missing a method to add a raw value,FELIX-5692
Fix whitespace handling in TypedProperties,FELIX-5691
ConfigurationHandler should support ignoring whitespace between property key/equal sign & equal sign/property value,FELIX-5690
FileInstall always expand configuration files,FELIX-5689
TypedProperties#put method is not idempotent,FELIX-5688
Do not use the threaded streams when passing the input stream to a command,FELIX-5687
NPE in ConfigInstaller on ConfigDelete,FELIX-5686
Splitting configadmin into configadmin and file persistance bundle,FELIX-5685
Set multi-location for created configurations,FELIX-5684
getServiceProperties returns null instead of empty dictionary,FELIX-5683
Deploying a bundle from a URL that requires Authentication,FELIX-5682
Felix crashes on Kubernetes,FELIX-5681
Add createResource(URLConnection conn) to DataModelHelperImpl to support URLs that require Authentication,FELIX-5680
iPOJO web content error,FELIX-5679
Allow merging of objects,FELIX-5678
No dependency-reduced POM is created if embedded dependencies are inlined,FELIX-5677
Uninstall should throw an exception if called while the bundle is starting or stopping,FELIX-5676
JSONParser needs a little bit more context when reporting an error,FELIX-5675
[Serializer] Inject JSON Parser,FELIX-5674
GOGO jar download links dead,FELIX-5673
Cannot launch Felix on Raspberry Pi: problem with normalizeOSVersion(),FELIX-5672
StringIndexOutOfBounds in gogo while evaluating an arithmetic expression,FELIX-5671
Facade caching for optimisation,FELIX-5670
Registering a PersistenceManager causes duplicate caches,FELIX-5669
Prevent Nullpointer when receiving a ServiceEvent for a service that has been already unregistered.,FELIX-5668
Illegal access with Java 9 Jigsaw (Module System),FELIX-5667
Serializer goes into infinite loop,FELIX-5666
High CPU usage on sun.reflect.Generated* class loads by log4j ,FELIX-5665
Update Jetty to 9.3.20.v20170531 to fix CVE-2017-9735,FELIX-5664
Karaf build hangs after upgrade of felix resolver,FELIX-5663
SSLFilterRequest returns the server port of the underlying request instead of the default port of the protocol.,FELIX-5662
The heuristic to derive the password type from the metatype id does not work reliably,FELIX-5661
DM r11 does not build after clean,FELIX-5660
Possible bug with Framework#listResources,FELIX-5659
Include poms in dm artifacts,FELIX-5658
DM released sources can't be rebuilt,FELIX-5657
[gogo][runtime] The Expander does not correctly support octal values,FELIX-5656
Possible NPE in Expression.isNumber when passing an empty string,FELIX-5655
The web console plugin init(config) method is invoked for every request to the console,FELIX-5654
Simplify DM-Lambda samples,FELIX-5653
Felix Framework hangs on shutdown,FELIX-5652
Disable Log history in Gogo console,FELIX-5651
Support latest version of Gogo,FELIX-5650
Refreshing a fragment causes the framework to be restarted,FELIX-5649
ResolverImpl infinite loop,FELIX-5648
Errors in pom makes maven project builder bail out,FELIX-5647
Missing EE and system packages for Java 9,FELIX-5646
Embed-Transitive feature is no longer working,FELIX-5645
Repository#getURI() is no longer unique in case of XML-based repositories,FELIX-5644
Exceptions are swallowed on Android,FELIX-5643
string configurations in *.config files breaking behaviour change in 3.6.0,FELIX-5642
Add getRepository() to Resource,FELIX-5641
Using JarFile to getManifest to avoid NPE when META-INF and MANIFEST.MF are not the first 2 entries in jar,FELIX-5640
